OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
41;multicolor;1;GroupErrorsForEveryBlock;10;Extended;112;1;747;9130
42;multicolor;1;GroupErrorsForEveryBlock;16;Extended;115;0;742;9130
43;multicolor;1;GroupErrorsForEveryBlock;24;Extended;119;0;801;9130
44;multicolor;1;GroupErrorsForEveryBlock;32;Extended;123;0;823;9130
45;multicolor;2;GroupErrorsForEveryBlock;10;Extended;224;0;717;9130
46;multicolor;2;GroupErrorsForEveryBlock;16;Extended;230;0;761;9130
47;multicolor;2;GroupErrorsForEveryBlock;24;Extended;238;0;753;9130
48;multicolor;2;GroupErrorsForEveryBlock;32;Extended;246;0;778;9130
49;multicolor;5;GroupErrorsForEveryBlock;10;Extended;560;0;690;9130
50;multicolor;5;GroupErrorsForEveryBlock;16;Extended;575;1;666;9130
51;multicolor;5;GroupErrorsForEveryBlock;24;Extended;595;0;731;9130
52;multicolor;5;GroupErrorsForEveryBlock;32;Extended;615;0;727;9130
53;multicolor;10;GroupErrorsForEveryBlock;10;Extended;1120;442;623;9130
54;multicolor;10;GroupErrorsForEveryBlock;16;Extended;1150;443;728;9130
55;multicolor;10;GroupErrorsForEveryBlock;24;Extended;1190;0;736;9130
56;multicolor;10;GroupErrorsForEveryBlock;32;Extended;1230;0;767;9130
57;multicolor;16;GroupErrorsForEveryBlock;10;Extended;1792;667;648;9130
58;multicolor;16;GroupErrorsForEveryBlock;16;Extended;1840;661;684;9130
59;multicolor;16;GroupErrorsForEveryBlock;24;Extended;1904;663;736;9130
60;multicolor;16;GroupErrorsForEveryBlock;32;Extended;1968;0;791;9130
61;multicolor;1;SingleErrorsForEveryBlock;10;Extended;112;0;625;9130
62;multicolor;1;SingleErrorsForEveryBlock;16;Extended;115;0;644;9130
63;multicolor;1;SingleErrorsForEveryBlock;24;Extended;119;0;698;9130
64;multicolor;1;SingleErrorsForEveryBlock;32;Extended;123;0;719;9130
65;multicolor;2;SingleErrorsForEveryBlock;10;Extended;224;1;671;9130
66;multicolor;2;SingleErrorsForEveryBlock;16;Extended;230;1;644;9130
67;multicolor;2;SingleErrorsForEveryBlock;24;Extended;238;1;678;9130
68;multicolor;2;SingleErrorsForEveryBlock;32;Extended;246;0;731;9130
69;multicolor;5;SingleErrorsForEveryBlock;10;Extended;560;4;656;9130
70;multicolor;5;SingleErrorsForEveryBlock;16;Extended;575;5;646;9130
71;multicolor;5;SingleErrorsForEveryBlock;24;Extended;595;3;721;9130
72;multicolor;5;SingleErrorsForEveryBlock;32;Extended;615;1;728;9130
73;multicolor;10;SingleErrorsForEveryBlock;10;Extended;1120;1002;733;9130
74;multicolor;10;SingleErrorsForEveryBlock;16;Extended;1150;992;744;9130
75;multicolor;10;SingleErrorsForEveryBlock;24;Extended;1190;1;793;9130
76;multicolor;10;SingleErrorsForEveryBlock;32;Extended;1230;4;845;9130
77;multicolor;16;SingleErrorsForEveryBlock;10;Extended;1792;1560;686;9130
78;multicolor;16;SingleErrorsForEveryBlock;16;Extended;1840;1531;750;9130
79;multicolor;16;SingleErrorsForEveryBlock;24;Extended;1904;1562;811;9130
80;multicolor;16;SingleErrorsForEveryBlock;32;Extended;1968;6;911;9130
1;multicolor;1;GroupErrorsForEveryBlock;10;Simple;112;100;82596;9130
2;multicolor;1;GroupErrorsForEveryBlock;16;Simple;115;103;65921;9130
18;multicolor;16;GroupErrorsForEveryBlock;16;Simple;1840;671;66777;9130
3;multicolor;1;GroupErrorsForEveryBlock;24;Simple;119;104;64654;9130
19;multicolor;16;GroupErrorsForEveryBlock;24;Simple;1904;663;68634;9130
4;multicolor;1;GroupErrorsForEveryBlock;32;Simple;123;98;63120;9130
20;multicolor;16;GroupErrorsForEveryBlock;32;Simple;1968;691;70057;9130
5;multicolor;2;GroupErrorsForEveryBlock;10;Simple;224;145;69515;9130
21;multicolor;1;SingleErrorsForEveryBlock;10;Simple;112;101;62310;9130
6;multicolor;2;GroupErrorsForEveryBlock;16;Simple;230;141;65930;9130
22;multicolor;1;SingleErrorsForEveryBlock;16;Simple;115;104;60834;9130
7;multicolor;2;GroupErrorsForEveryBlock;24;Simple;238;151;64168;9130
23;multicolor;1;SingleErrorsForEveryBlock;24;Simple;119;97;53601;9130
8;multicolor;2;GroupErrorsForEveryBlock;32;Simple;246;135;55561;9130
24;multicolor;1;SingleErrorsForEveryBlock;32;Simple;123;97;54419;9130
9;multicolor;5;GroupErrorsForEveryBlock;10;Simple;560;251;65960;9130
25;multicolor;2;SingleErrorsForEveryBlock;10;Simple;224;213;69281;9130
10;multicolor;5;GroupErrorsForEveryBlock;16;Simple;575;247;63787;9130
26;multicolor;2;SingleErrorsForEveryBlock;16;Simple;230;213;60306;9130
11;multicolor;5;GroupErrorsForEveryBlock;24;Simple;595;252;61995;9130
27;multicolor;2;SingleErrorsForEveryBlock;24;Simple;238;215;67140;9130
12;multicolor;5;GroupErrorsForEveryBlock;32;Simple;615;227;63030;9130
28;multicolor;2;SingleErrorsForEveryBlock;32;Simple;246;205;69578;9130
13;multicolor;10;GroupErrorsForEveryBlock;10;Simple;1120;435;71121;9130
29;multicolor;5;SingleErrorsForEveryBlock;10;Simple;560;528;67212;9130
14;multicolor;10;GroupErrorsForEveryBlock;16;Simple;1150;437;69974;9130
30;multicolor;5;SingleErrorsForEveryBlock;16;Simple;575;529;66592;9130
15;multicolor;10;GroupErrorsForEveryBlock;24;Simple;1190;426;63418;9130
31;multicolor;5;SingleErrorsForEveryBlock;24;Simple;595;507;62714;9130
16;multicolor;10;GroupErrorsForEveryBlock;32;Simple;1230;374;59106;9130
32;multicolor;5;SingleErrorsForEveryBlock;32;Simple;615;525;64639;9130
17;multicolor;16;GroupErrorsForEveryBlock;10;Simple;1792;668;66709;9130
33;multicolor;10;SingleErrorsForEveryBlock;10;Simple;1120;1025;56866;9130
34;multicolor;10;SingleErrorsForEveryBlock;16;Simple;1150;1008;48051;9130
35;multicolor;10;SingleErrorsForEveryBlock;24;Simple;1190;1006;49527;9130
36;multicolor;10;SingleErrorsForEveryBlock;32;Simple;1230;1010;48400;9130
37;multicolor;16;SingleErrorsForEveryBlock;10;Simple;1792;1574;47511;9130
38;multicolor;16;SingleErrorsForEveryBlock;16;Simple;1840;1552;51019;9130
39;multicolor;16;SingleErrorsForEveryBlock;24;Simple;1904;1593;50017;9130
40;multicolor;16;SingleErrorsForEveryBlock;32;Simple;1968;1566;49370;9130
41;whiteSquare;1;GroupErrorsForEveryBlock;10;Extended;99;2;587;8100
42;whiteSquare;1;GroupErrorsForEveryBlock;16;Extended;102;1;548;8100
43;whiteSquare;1;GroupErrorsForEveryBlock;24;Extended;105;0;591;8100
44;whiteSquare;1;GroupErrorsForEveryBlock;32;Extended;109;1;689;8100
45;whiteSquare;2;GroupErrorsForEveryBlock;10;Extended;198;2;553;8100
46;whiteSquare;2;GroupErrorsForEveryBlock;16;Extended;204;1;613;8100
47;whiteSquare;2;GroupErrorsForEveryBlock;24;Extended;210;0;583;8100
48;whiteSquare;2;GroupErrorsForEveryBlock;32;Extended;218;3;675;8100
49;whiteSquare;5;GroupErrorsForEveryBlock;10;Extended;495;0;544;8100
50;whiteSquare;5;GroupErrorsForEveryBlock;16;Extended;510;1;553;8100
51;whiteSquare;5;GroupErrorsForEveryBlock;24;Extended;525;1;596;8100
52;whiteSquare;5;GroupErrorsForEveryBlock;32;Extended;545;0;596;8100
53;whiteSquare;10;GroupErrorsForEveryBlock;10;Extended;990;391;540;8100
54;whiteSquare;10;GroupErrorsForEveryBlock;16;Extended;1020;388;582;8100
55;whiteSquare;10;GroupErrorsForEveryBlock;24;Extended;1050;1;554;8100
56;whiteSquare;10;GroupErrorsForEveryBlock;32;Extended;1090;0;664;8100
57;whiteSquare;16;GroupErrorsForEveryBlock;10;Extended;1584;579;548;8100
58;whiteSquare;16;GroupErrorsForEveryBlock;16;Extended;1632;566;562;8100
59;whiteSquare;16;GroupErrorsForEveryBlock;24;Extended;1680;579;609;8100
60;whiteSquare;16;GroupErrorsForEveryBlock;32;Extended;1744;1;681;8100
61;whiteSquare;1;SingleErrorsForEveryBlock;10;Extended;99;0;532;8100
62;whiteSquare;1;SingleErrorsForEveryBlock;16;Extended;102;0;655;8100
63;whiteSquare;1;SingleErrorsForEveryBlock;24;Extended;105;0;591;8100
64;whiteSquare;1;SingleErrorsForEveryBlock;32;Extended;109;0;618;8100
65;whiteSquare;2;SingleErrorsForEveryBlock;10;Extended;198;0;593;8100
66;whiteSquare;2;SingleErrorsForEveryBlock;16;Extended;204;0;590;8100
67;whiteSquare;2;SingleErrorsForEveryBlock;24;Extended;210;1;578;8100
68;whiteSquare;2;SingleErrorsForEveryBlock;32;Extended;218;2;641;8100
69;whiteSquare;5;SingleErrorsForEveryBlock;10;Extended;495;1;576;8100
