OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
101;sandwich;5;SingleErrorsForEveryBlock;10;Extended;400;2;463;6500
102;sandwich;5;SingleErrorsForEveryBlock;16;Extended;410;4;476;6500
103;sandwich;5;SingleErrorsForEveryBlock;24;Extended;425;1;539;6500
104;sandwich;5;SingleErrorsForEveryBlock;32;Extended;440;1;549;6500
105;sandwich;5;SingleErrorsForEveryBlock;40;Extended;455;0;656;6500
106;sandwich;10;SingleErrorsForEveryBlock;10;Extended;800;727;487;6500
107;sandwich;10;SingleErrorsForEveryBlock;16;Extended;820;725;494;6500
108;sandwich;10;SingleErrorsForEveryBlock;24;Extended;850;4;535;6500
109;sandwich;10;SingleErrorsForEveryBlock;32;Extended;880;3;585;6500
110;sandwich;10;SingleErrorsForEveryBlock;40;Extended;910;6;610;6500
111;sandwich;16;SingleErrorsForEveryBlock;10;Extended;1280;1114;492;6500
112;sandwich;16;SingleErrorsForEveryBlock;16;Extended;1312;1119;496;6500
113;sandwich;16;SingleErrorsForEveryBlock;24;Extended;1360;1109;483;6500
114;sandwich;16;SingleErrorsForEveryBlock;32;Extended;1408;2;551;6500
115;sandwich;16;SingleErrorsForEveryBlock;40;Extended;1456;10;604;6500
116;sandwich;20;SingleErrorsForEveryBlock;10;Extended;1600;1358;477;6500
117;sandwich;20;SingleErrorsForEveryBlock;16;Extended;1640;1349;503;6500
118;sandwich;20;SingleErrorsForEveryBlock;24;Extended;1700;1381;523;6500
119;sandwich;20;SingleErrorsForEveryBlock;32;Extended;1760;1352;560;6500
120;sandwich;20;SingleErrorsForEveryBlock;40;Extended;1820;11;631;6500
1;sandwich;1;GroupErrorsForEveryBlock;10;Simple;80;70;51347;6500
121;sandwich;0,01;ErrorsWithProbability;10;Simple;209;197;46158;6500
2;sandwich;1;GroupErrorsForEveryBlock;16;Simple;82;73;44031;6500
122;sandwich;0,01;ErrorsWithProbability;16;Simple;221;199;41958;6500
3;sandwich;1;GroupErrorsForEveryBlock;24;Simple;85;68;41342;6500
123;sandwich;0,01;ErrorsWithProbability;24;Simple;213;190;41331;6500
4;sandwich;1;GroupErrorsForEveryBlock;32;Simple;88;72;42508;6500
124;sandwich;0,01;ErrorsWithProbability;32;Simple;232;198;42082;6500
5;sandwich;1;GroupErrorsForEveryBlock;40;Simple;91;67;40436;6500
125;sandwich;0,01;ErrorsWithProbability;40;Simple;217;173;39213;6500
6;sandwich;2;GroupErrorsForEveryBlock;10;Simple;160;100;44902;6500
126;sandwich;0,02;ErrorsWithProbability;10;Simple;431;414;44724;6500
7;sandwich;2;GroupErrorsForEveryBlock;16;Simple;164;102;43986;6500
127;sandwich;0,02;ErrorsWithProbability;16;Simple;419;384;45175;6500
8;sandwich;2;GroupErrorsForEveryBlock;24;Simple;170;101;40593;6500
128;sandwich;0,02;ErrorsWithProbability;24;Simple;436;378;43881;6500
9;sandwich;2;GroupErrorsForEveryBlock;32;Simple;176;92;39679;6500
129;sandwich;0,02;ErrorsWithProbability;32;Simple;487;399;45178;6500
10;sandwich;2;GroupErrorsForEveryBlock;40;Simple;182;96;40105;6500
130;sandwich;0,02;ErrorsWithProbability;40;Simple;463;376;44848;6500
11;sandwich;5;GroupErrorsForEveryBlock;10;Simple;400;175;44587;6500
131;sandwich;0,05;ErrorsWithProbability;10;Simple;1017;912;43654;6500
12;sandwich;5;GroupErrorsForEveryBlock;16;Simple;410;177;42715;6500
132;sandwich;0,05;ErrorsWithProbability;16;Simple;1030;898;45466;6500
13;sandwich;5;GroupErrorsForEveryBlock;24;Simple;425;180;42866;6500
133;sandwich;0,05;ErrorsWithProbability;24;Simple;1141;964;46702;6500
14;sandwich;5;GroupErrorsForEveryBlock;32;Simple;440;177;43312;6500
